original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL
Ensure you never go to street 3 while traveling to building 4;[]!street_3&&<>building_4;G!street_3 & Fbuilding_4;['street_3', 'building_4'];Ensure you never go to street_3 while traveling to building_4;{'street 3': 'street_3', 'building 4': 'building_4'};{'street_3': 'ap_0', 'building_4': 'ap_1'};G!ap_0 & Fap_1
Go to store 3 to get package 2 and deliver it to house 2, ensuring you do not enter mall 1;<>(store_3&&<>(p_package_2&&<>(house_2&&pd)))&&[]!mall_1;F(store_3 & F(p_package_2 & F(house_2 & pd))) & G!mall_1;['pd', 'house_2', 'store_3', 'p_package_2', 'mall_1'];Go to store_3 to get p_package_2 and deliver it to house_2, ensuring you do not enter mall_1;{'pd': 'pd', 'house 2': 'house_2', 'store 3': 'store_3', 'package 2': 'p_package_2', 'mall 1': 'mall_1'};{'pd': 'ap_0', 'house_2': 'ap_1', 'store_3': 'ap_2', 'p_package_2': 'ap_3', 'mall_1': 'ap_4'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0))) & G!ap_4
Stay out of house 3 indefinitely;[]!house_3;G!house_3;['house_3'];Stay out of house_3 indefinitely;{'house 3': 'house_3'};{'house_3': 'ap_0'};G!ap_0
Keep returning to take a photo of landmark 21 periodically;[]<>(landmark_21&&photo);GF(landmark_21 & photo);['photo', 'landmark_21'];Keep returning to take a photo of landmark_21 periodically;{'photo': 'photo', 'landmark 21': 'landmark_21'};{'photo': 'ap_0', 'landmark_21': 'ap_1'};GF(ap_1 & ap_0)
Find your way to intersection 5 and stay there permanently;<>[]intersection_5;FGintersection_5;['intersection_5'];Find your way to intersection_5 and stay there permanently;{'intersection 5': 'intersection_5'};{'intersection_5': 'ap_0'};FGap_0
go to house 1, pick up trash can 4, and take it ot garbage dump 3;<>(house_1&&<>(p_trash_can_4&&<>(garbage_dump_3&&pd)));F(house_1 & F(p_trash_can_4 & F(garbage_dump_3 & pd)));['pd', 'house_1', 'p_trash_can_4', 'garbage_dump_3'];go to house_1, pick up p_trash_can_4, and take it ot garbage_dump_3;{'pd': 'pd', 'house 1': 'house_1', 'trash can 4': 'p_trash_can_4', 'garbage dump 3': 'garbage_dump_3'};{'pd': 'ap_0', 'house_1': 'ap_1', 'p_trash_can_4': 'ap_2', 'garbage_dump_3': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Go to house 3, collect pass 2, and take it to office 2, making sure you do not go to street 5 before picking up pass 2;<>(house_3&&<>(p_pass_2&&<>(office_2&&pd)))&&!street_5 U p_pass_2;F(house_3 & F(p_pass_2 & F(office_2 & pd))) & (!street_5 U p_pass_2);['pd', 'street_5', 'office_2', 'house_3', 'p_pass_2'];Go to house_3, collect p_pass_2, and take it to office_2, making sure you do not go to street_5 before picking up p_pass_2;{'pd': 'pd', 'street 5': 'street_5', 'office 2': 'office_2', 'house 3': 'house_3', 'pass 2': 'p_pass_2'};{'pd': 'ap_0', 'street_5': 'ap_1', 'office_2': 'ap_2', 'house_3': 'ap_3', 'p_pass_2': 'ap_4'};F(ap_3 & F(ap_4 & F(ap_2 & ap_0))) & (!ap_1 U ap_4)
Ensure you visit car 3 repeatedly while making progress toward building 2;[]<>car_3&&<>building_2;GFcar_3 & Fbuilding_2;['car_3', 'building_2'];Ensure you visit car_3 repeatedly while making progress toward building_2;{'car 3': 'car_3', 'building 2': 'building_2'};{'car_3': 'ap_0', 'building_2': 'ap_1'};GFap_0 & Fap_1
Go to post office 1, collect letter 2, and put it down in building 3;<>(post_office_1&&<>(p_lettter_2&&<>(building_3&&pd)));F(post_office_1 & F(p_lettter_2 & F(building_3 & pd)));['pd', 'post_office_1', 'p_lettter_2', 'building_3'];Go to post_office_1, collect letter 2, and put it down in building_3;{'pd': 'pd', 'post office 1': 'post_office_1', 'lettter 2': 'p_lettter_2', 'building 3': 'building_3'};{'pd': 'ap_0', 'post_office_1': 'ap_1', 'p_lettter_2': 'ap_2', 'building_3': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Ensure you do to intersection 4 before picking up cone 2;!p_cone_2 U intersection_4;!p_cone_2 U intersection_4;['intersection_4', 'p_cone_2'];Ensure you do to intersection_4 before picking up p_cone_2;{'intersection 4': 'intersection_4', 'cone 2': 'p_cone_2'};{'intersection_4': 'ap_0', 'p_cone_2': 'ap_1'};!ap_1 U ap_0
Find your way to park 8 and stay there permanently;<>[]park_8;FGpark_8;['park_8'];Find your way to park_8 and stay there permanently;{'park 8': 'park_8'};{'park_8': 'ap_0'};FGap_0
Snap a photo of building 2.;<>(building_2&&photo);F(building_2 & photo);['photo', 'building_2'];Snap a photo of building_2.;{'photo': 'photo', 'building 2': 'building_2'};{'photo': 'ap_0', 'building_2': 'ap_1'};F(ap_1 & ap_0)
Fetch bottle 3 from store 1 and drop it off in hospital 2.;<>(shop_1&&<>(p_bottle_3&&<>(hospital_2&&pd)));F(shop_1 & F(p_bottle_3 & F(hospital_2 & pd)));['pd', 'p_bottle_3', 'shop_1', 'hospital_2'];Fetch p_bottle_3 from store 1 and drop it off in hospital_2.;{'pd': 'pd', 'bottle 3': 'p_bottle_3', 'shop 1': 'shop_1', 'hospital 2': 'hospital_2'};{'pd': 'ap_0', 'p_bottle_3': 'ap_1', 'shop_1': 'ap_2', 'hospital_2': 'ap_3'};F(ap_2 & F(ap_1 & F(ap_3 & ap_0)))
Retrieve dish 2 by going to parking lot 2;<>(parking_lot_2&&p_dish_2);F(p_dish_2 & parking_lot_2);['p_dish_2', 'parking_lot_2'];Retrieve p_dish_2 by going to parking_lot_2;{'dish 2': 'p_dish_2', 'parking lot 2': 'parking_lot_2'};{'p_dish_2': 'ap_0', 'parking_lot_2': 'ap_1'};F(ap_0 & ap_1)
Retrieve water bottle 4 at hospital 3 while ensuring pharmacy 2 is not entered.;<>(hospital_3&&p_bottle_4)&&[]!pharmacy_2;F(hospital_3 & p_bottle_4) & G!pharmacy_2;['p_bottle_4', 'hospital_3', 'pharmacy_2'];Retrieve water p_bottle_4 at hospital_3 while ensuring pharmacy_2 is not entered.;{'bottle 4': 'p_bottle_4', 'hospital 3': 'hospital_3', 'pharmacy 2': 'pharmacy_2'};{'p_bottle_4': 'ap_0', 'hospital_3': 'ap_1', 'pharmacy_2': 'ap_2'};F(ap_1 & ap_0) & G!ap_2
Be in parking lot 4 until you arrive at car 5.;parking_lot_4 U car_5;parking_lot_4 U car_5;['parking_lot_4', 'car_5'];Be in parking_lot_4 until you arrive at car_5.;{'parking lot 4': 'parking_lot_4', 'car 5': 'car_5'};{'parking_lot_4': 'ap_0', 'car_5': 'ap_1'};ap_0 U ap_1
Avoid entering street 5 until you reach store 1, and ensure that you eventually go to store 1 and pick up package 4;!street_5 U store_1&&<>(store_1&&p_package_4);(!street_5 U store_1) & F(p_package_4 & store_1);['p_package_4', 'street_5', 'store_1'];Avoid entering street_5 until you reach store_1, and ensure that you eventually go to store_1 and pick up p_package_4;{'package 4': 'p_package_4', 'street 5': 'street_5', 'store 1': 'store_1'};{'p_package_4': 'ap_0', 'street_5': 'ap_1', 'store_1': 'ap_2'};(!ap_1 U ap_2) & F(ap_0 & ap_2)
Ensure you put down any held object before going to parking lot 2.;<>(pd&&<>parking_lot_2);F(pd & Fparking_lot_2);['pd', 'parking_lot_2'];Ensure you put down any held object before going to parking_lot_2.;{'pd': 'pd', 'parking lot 2': 'parking_lot_2'};{'pd': 'ap_0', 'parking_lot_2': 'ap_1'};F(ap_0 & Fap_1)
Collect bottle 3 from kitchen 2 without entering living room 1.;<>(kitchen_2&&p_bottle_3)&&[]!living_room_1;F(kitchen_2 & p_bottle_3) & G!living_room_1;['p_bottle_3', 'kitchen_2', 'living_room_1'];Collect p_bottle_3 from kitchen_2 without entering living_room_1.;{'bottle 3': 'p_bottle_3', 'kitchen 2': 'kitchen_2', 'living room 1': 'living_room_1'};{'p_bottle_3': 'ap_0', 'kitchen_2': 'ap_1', 'living_room_1': 'ap_2'};F(ap_1 & ap_0) & G!ap_2
Move to parking lot 5 and stay in that location permanently.;<>[]parking_lot_5;FGparking_lot_5;['parking_lot_5'];Move to parking_lot_5 and stay in that location permanently.;{'parking lot 5': 'parking_lot_5'};{'parking_lot_5': 'ap_0'};FGap_0
Continuously deliver package 5 from warehouse 1 to store 5 while repeatedly going to charging station 5;[]<>(warehouse_1&&<>(p_package_5&&<>(store_5&&pd)))&&[]<>charging_station_5;GF(warehouse_1 & F(p_package_5 & F(pd & store_5))) & GFcharging_station_5;['pd', 'p_package_5', 'store_5', 'charging_station_5', 'warehouse_1'];Continuously deliver p_package_5 from warehouse_1 to store_5 while repeatedly going to charging_station_5;{'pd': 'pd', 'package 5': 'p_package_5', 'store 5': 'store_5', 'charging station 5': 'charging_station_5', 'warehouse 1': 'warehouse_1'};{'pd': 'ap_0', 'p_package_5': 'ap_1', 'store_5': 'ap_2', 'charging_station_5': 'ap_3', 'warehouse_1': 'ap_4'};GF(ap_4 & F(ap_1 & F(ap_0 & ap_2))) & GFap_3
Never enter park 3, and ensure that you eventually go to police station 1 and pick up cone 2 and then deliver it to intersection 2;[]!park_3&&<>(police_station_1&&p_cone_2&&<>(intersection_2&&pd));G!park_3 & F(p_cone_2 & police_station_1 & F(intersection_2 & pd));['pd', 'park_3', 'p_cone_2', 'police_station_1', 'intersection_2'];Never enter park_3, and ensure that you eventually go to police_station_1 and pick up p_cone_2 and then deliver it to intersection_2;{'pd': 'pd', 'park 3': 'park_3', 'cone 2': 'p_cone_2', 'police station 1': 'police_station_1', 'intersection 2': 'intersection_2'};{'pd': 'ap_0', 'park_3': 'ap_1', 'p_cone_2': 'ap_2', 'police_station_1': 'ap_3', 'intersection_2': 'ap_4'};G!ap_1 & F(ap_2 & ap_3 & F(ap_4 & ap_0))
Keep making visits to street 5 repeatedly.;[]<>street_5;GFstreet_5;['street_5'];Keep making visits to street_5 repeatedly.;{'street 5': 'street_5'};{'street_5': 'ap_0'};GFap_0
Ensure building 1 is avoided until reaching street 4.;!building_1 U street_4;!building_1 U street_4;['building_1', 'street_4'];Ensure building_1 is avoided until reaching street_4.;{'building 1': 'building_1', 'street 4': 'street_4'};{'building_1': 'ap_0', 'street_4': 'ap_1'};!ap_0 U ap_1
Eventually go to parking lot 2, while ensuring that the delivery process (pd) never occurs;<>parking_lot_2&&[]!pd;Fparking_lot_2 & G!pd;['pd', 'parking_lot_2'];Eventually go to parking_lot_2, while ensuring that the delivery process (pd) never occurs;{'pd': 'pd', 'parking lot 2': 'parking_lot_2'};{'pd': 'ap_0', 'parking_lot_2': 'ap_1'};Fap_1 & G!ap_0
Eventually go to building 3 and remain there permanently, but avoid entering building 3 until you have first reached garage 3;<>[]building_3&&!building_3 U garage_3;FGbuilding_3 & (!building_3 U garage_3);['building_3', 'garage_3'];Eventually go to building_3 and remain there permanently, but avoid entering building_3 until you have first reached garage_3;{'building 3': 'building_3', 'garage 3': 'garage_3'};{'building_3': 'ap_0', 'garage_3': 'ap_1'};FGap_0 & (!ap_0 U ap_1)
Stay away from street 3 indefinitely;[]!street_3;G!street_3;['street_3'];Stay away from street_3 indefinitely;{'street 3': 'street_3'};{'street_3': 'ap_0'};G!ap_0
Take a picture at statue 5 after going there;<>(statue_5&&photo);F(photo & statue_5);['photo', 'statue_5'];Take a picture at statue_5 after going there;{'photo': 'photo', 'statue 5': 'statue_5'};{'photo': 'ap_0', 'statue_5': 'ap_1'};F(ap_0 & ap_1)
Repeatedly visit area 2 and take a photo there;[]<>(area_2&&photo);GF(area_2 & photo);['photo', 'area_2'];Repeatedly visit area_2 and take a photo there;{'photo': 'photo', 'area 2': 'area_2'};{'photo': 'ap_0', 'area_2': 'ap_1'};GF(ap_1 & ap_0)
Go to street 5 before heading to building 2 and staying there forever.;<>(street_5&&<>(building_2&&[]building_2));F(street_5 & F(building_2 & Gbuilding_2));['street_5', 'building_2'];Go to street_5 before heading to building_2 and staying there forever.;{'street 5': 'street_5', 'building 2': 'building_2'};{'street_5': 'ap_0', 'building_2': 'ap_1'};F(ap_0 & F(ap_1 & Gap_1))
Pick up trash 4 from house 4 and put it down at garbage dump 1;<>(house_4&&<>(p_trash_4&&<>(garbage_dump_1&&pd)));F(house_4 & F(p_trash_4 & F(garbage_dump_1 & pd)));['pd', 'house_4', 'p_trash_4', 'garbage_dump_1'];Pick up p_trash_4 from house_4 and put it down at garbage_dump_1;{'pd': 'pd', 'house 4': 'house_4', 'trash 4': 'p_trash_4', 'garbage dump 1': 'garbage_dump_1'};{'pd': 'ap_0', 'house_4': 'ap_1', 'p_trash_4': 'ap_2', 'garbage_dump_1': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Avoid entering garage 1 until a photo is taken, and ensure you eventually go to landmark 5 and take a picture there;!garage_1 U photo&&<>(landmark_5&&photo);(!garage_1 U photo) & F(landmark_5 & photo);['photo', 'garage_1', 'landmark_5'];Avoid entering garage_1 until a photo is taken, and ensure you eventually go to landmark_5 and take a picture there;{'photo': 'photo', 'garage 1': 'garage_1', 'landmark 5': 'landmark_5'};{'photo': 'ap_0', 'garage_1': 'ap_1', 'landmark_5': 'ap_2'};(!ap_1 U ap_0) & F(ap_2 & ap_0)
Take bottle 3 from bedroom 2 and place it in kitchen 4 afterward;<>(bedroom_2&&<>(p_bottle_3&&<>(kitchen_4&&pd)));F(bedroom_2 & F(p_bottle_3 & F(kitchen_4 & pd)));['pd', 'bedroom_2', 'p_bottle_3', 'kitchen_4'];Take p_bottle_3 from bedroom_2 and place it in kitchen_4 afterward;{'pd': 'pd', 'bedroom 2': 'bedroom_2', 'bottle 3': 'p_bottle_3', 'kitchen 4': 'kitchen_4'};{'pd': 'ap_0', 'bedroom_2': 'ap_1', 'p_bottle_3': 'ap_2', 'kitchen_4': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Eventually go to street 5 and never entering parking lot 2;<>street_5&&[]!parking_lot_2;Fstreet_5 & G!parking_lot_2;['street_5', 'parking_lot_2'];Eventually go to street_5 and never entering parking_lot_2;{'street 5': 'street_5', 'parking lot 2': 'parking_lot_2'};{'street_5': 'ap_0', 'parking_lot_2': 'ap_1'};Fap_0 & G!ap_1
Be in park 1 and continue to stay there until you get to table 3;park_1 U table_3;park_1 U table_3;['park_1', 'table_3'];Be in park_1 and continue to stay there until you get to table_3;{'park 1': 'park_1', 'table 3': 'table_3'};{'park_1': 'ap_0', 'table_3': 'ap_1'};ap_0 U ap_1
Take bottle 2 from kitchen 1 and go to hall 2, ensuring you stay there forever;<>(kitchen_1&&<>(p_bottle_2&&<>(hall_2&&[]hall_2)));F(kitchen_1 & F(p_bottle_2 & F(hall_2 & Ghall_2)));['kitchen_1', 'p_bottle_2', 'hall_2'];Take p_bottle_2 from kitchen_1 and go to hall_2, ensuring you stay there forever;{'kitchen 1': 'kitchen_1', 'bottle 2': 'p_bottle_2', 'hall 2': 'hall_2'};{'kitchen_1': 'ap_0', 'p_bottle_2': 'ap_1', 'hall_2': 'ap_2'};F(ap_0 & F(ap_1 & F(ap_2 & Gap_2)))
Ensure you avoid street 4 until intersection 2 is reached while picking up trash 13 at house 13;!street_4 U intersection_2&&<>(house_13&&p_trash_13);(!street_4 U intersection_2) & F(house_13 & p_trash_13);['street_4', 'intersection_2', 'house_13', 'p_trash_13'];Ensure you avoid street_4 until intersection_2 is reached while picking up p_trash_13 at house_13;{'street 4': 'street_4', 'intersection 2': 'intersection_2', 'house 13': 'house_13', 'trash 13': 'p_trash_13'};{'street_4': 'ap_0', 'intersection_2': 'ap_1', 'house_13': 'ap_2', 'p_trash_13': 'ap_3'};(!ap_0 U ap_1) & F(ap_2 & ap_3)
Stay out of both street 3 and street 4 permanently;[]!(street_3||street_4);G!(street_3 | street_4);['street_4', 'street_3'];Stay out of both street_3 and street_4 permanently;{'street 4': 'street_4', 'street 3': 'street_3'};{'street_4': 'ap_0', 'street_3': 'ap_1'};G!(ap_1 | ap_0)
Continuously revisit charger 2, and (ensure that you eventually go to table 2, pick up plate 4, and deliver it to table 4);[]<>charger_2&&<>(table_2&&<>(p_plate_4&&<>(table_4&&pd)));GFcharger_2 & F(table_2 & F(p_plate_4 & F(pd & table_4)));['pd', 'table_4', 'table_2', 'charger_2', 'p_plate_4'];Continuously revisit charger_2, and (ensure that you eventually go to table_2, pick up p_plate_4, and deliver it to table_4);{'pd': 'pd', 'table 4': 'table_4', 'table 2': 'table_2', 'charger 2': 'charger_2', 'plate 4': 'p_plate_4'};{'pd': 'ap_0', 'table_4': 'ap_1', 'table_2': 'ap_2', 'charger_2': 'ap_3', 'p_plate_4': 'ap_4'};GFap_3 & F(ap_2 & F(ap_4 & F(ap_0 & ap_1)))
Eventually (go to office 3, pick up document 1, and then go to street 2 and remain there permanently);<>(office_3&&<>(p_document_1&&<>(street_2&&[]street_2)));F(office_3 & F(p_document_1 & F(street_2 & Gstreet_2)));['office_3', 'street_2', 'p_document_1'];Eventually (go to office_3, pick up p_document_1, and then go to street_2 and remain there permanently);{'office 3': 'office_3', 'street 2': 'street_2', 'document 1': 'p_document_1'};{'office_3': 'ap_0', 'street_2': 'ap_1', 'p_document_1': 'ap_2'};F(ap_0 & F(ap_2 & F(ap_1 & Gap_1)))
Get letter 3 from post office 1 and deliver it to house 2;<>(post_office_1&&<>(p_letter_3&&<>(house_2&&pd)));F(post_office_1 & F(p_letter_3 & F(house_2 & pd)));['pd', 'house_2', 'post_office_1', 'p_letter_3'];Get p_letter_3 from post_office_1 and deliver it to house_2;{'pd': 'pd', 'house 2': 'house_2', 'post office 1': 'post_office_1', 'letter 3': 'p_letter_3'};{'pd': 'ap_0', 'house_2': 'ap_1', 'post_office_1': 'ap_2', 'p_letter_3': 'ap_3'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Snap a picture of landmark 6;<>(landmark_6&&photo);F(landmark_6 & photo);['photo', 'landmark_6'];Snap a picture of landmark_6;{'photo': 'photo', 'landmark 6': 'landmark_6'};{'photo': 'ap_0', 'landmark_6': 'ap_1'};F(ap_1 & ap_0)
Keep going back to street 4 repeatedly;[]<>street_4;GFstreet_4;['street_4'];Keep going back to street_4 repeatedly;{'street 4': 'street_4'};{'street_4': 'ap_0'};GFap_0
Reach house 5 and stay permanently in that location;<>[]house_5;FGhouse_5;['house_5'];Reach house_5 and stay permanently in that location;{'house 5': 'house_5'};{'house_5': 'ap_0'};FGap_0
Eventually take a picture of statue 2, but avoid going to statue 2 until you reach park 5;<>(statue_2&&photo)&&!statue_2 U park_5;F(photo & statue_2) & (!statue_2 U park_5);['photo', 'park_5', 'statue_2'];Eventually take a picture of statue_2, but avoid going to statue_2 until you reach park_5;{'photo': 'photo', 'park 5': 'park_5', 'statue 2': 'statue_2'};{'photo': 'ap_0', 'park_5': 'ap_1', 'statue_2': 'ap_2'};F(ap_0 & ap_2) & (!ap_2 U ap_1)
Make sure you never retrieve cone 1 or cone 2;[]!(p_cone_1||p_cone_2);G!(p_cone_1 | p_cone_2);['p_cone_2', 'p_cone_1'];Make sure you never retrieve p_cone_1 or p_cone_2;{'cone 2': 'p_cone_2', 'cone 1': 'p_cone_1'};{'p_cone_2': 'ap_0', 'p_cone_1': 'ap_1'};G!(ap_1 | ap_0)
While staying out of street 4, pickup package 8 from store 7 and deliver it to house 2;[]!street_4&&<>(store_7&&<>(p_package_8&&<>(house_2&&pd)));G!street_4 & F(store_7 & F(p_package_8 & F(house_2 & pd)));['pd', 'street_4', 'house_2', 'p_package_8', 'store_7'];While staying out of street_4, pickup p_package_8 from store_7 and deliver it to house_2;{'pd': 'pd', 'street 4': 'street_4', 'house 2': 'house_2', 'package 8': 'p_package_8', 'store 7': 'store_7'};{'pd': 'ap_0', 'street_4': 'ap_1', 'house_2': 'ap_2', 'p_package_8': 'ap_3', 'store_7': 'ap_4'};G!ap_1 & F(ap_4 & F(ap_3 & F(ap_2 & ap_0)))
Remove cone 5 from parking lot 2 and move it to street 1;<>(parking_lot_2&&<>(p_cone_5&&<>(street_1&&pd)));F(parking_lot_2 & F(p_cone_5 & F(pd & street_1)));['pd', 'p_cone_5', 'parking_lot_2', 'street_1'];Remove p_cone_5 from parking_lot_2 and move it to street_1;{'pd': 'pd', 'cone 5': 'p_cone_5', 'parking lot 2': 'parking_lot_2', 'street 1': 'street_1'};{'pd': 'ap_0', 'p_cone_5': 'ap_1', 'parking_lot_2': 'ap_2', 'street_1': 'ap_3'};F(ap_2 & F(ap_1 & F(ap_0 & ap_3)))
Periodically visit house 2 and pick up trash can 4 each time;[]<>(house_2&&p_trash_can_4);GF(house_2 & p_trash_can_4);['house_2', 'p_trash_can_4'];Periodically visit house_2 and pick up p_trash_can_4 each time;{'house 2': 'house_2', 'trash can 4': 'p_trash_can_4'};{'house_2': 'ap_0', 'p_trash_can_4': 'ap_1'};GF(ap_0 & ap_1)
Stay out of house 4 permanently;[]!house_4;G!house_4;['house_4'];Stay out of house_4 permanently;{'house 4': 'house_4'};{'house_4': 'ap_0'};G!ap_0
Never enter street 3, and ensure that you eventually go to building 4;[]!street_3&&<>building_4;G!street_3 & Fbuilding_4;['street_3', 'building_4'];Never enter street_3, and ensure that you eventually go to building_4;{'street 3': 'street_3', 'building 4': 'building_4'};{'street_3': 'ap_0', 'building_4': 'ap_1'};G!ap_0 & Fap_1
Collect package 2 from store 3 and take it to house 2 without entering mall 1;<>(store_3&&<>(p_package_2&&<>(house_2&&pd)))&&[]!mall_1;F(store_3 & F(p_package_2 & F(house_2 & pd))) & G!mall_1;['pd', 'house_2', 'store_3', 'p_package_2', 'mall_1'];Collect p_package_2 from store_3 and take it to house_2 without entering mall_1;{'pd': 'pd', 'house 2': 'house_2', 'store 3': 'store_3', 'package 2': 'p_package_2', 'mall 1': 'mall_1'};{'pd': 'ap_0', 'house_2': 'ap_1', 'store_3': 'ap_2', 'p_package_2': 'ap_3', 'mall_1': 'ap_4'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0))) & G!ap_4
Ensure that you do not go to house 3 at any point;[]!house_3;G!house_3;['house_3'];Ensure that you do not go to house_3 at any point;{'house 3': 'house_3'};{'house_3': 'ap_0'};G!ap_0
Regularly photograph landmark 21 without stopping;[]<>(landmark_21&&photo);GF(landmark_21 & photo);['photo', 'landmark_21'];Regularly photograph landmark_21 without stopping;{'photo': 'photo', 'landmark 21': 'landmark_21'};{'photo': 'ap_0', 'landmark_21': 'ap_1'};GF(ap_1 & ap_0)
